package,version,status
expo-text-extractor,2.0.0,pass
klaviyo-react-native-sdk,2.5.0,fail-newdsl
llama.rn,0.13.0-rc.2,pass
onnxruntime-react-native,1.24.3,fail-baseline
react-native-adapty,4.0.3,fail-newdsl
react-native-avoid-softinput,9.0.0,fail-newdsl
react-native-background-actions,4.1.0,pass
react-native-barcode-creator,0.2.1,pass
react-native-ble-manager,12.5.1,fail-newdsl
react-native-bluetooth-classic,1.73.0-rc.17,fail-baseline
react-native-capture-protection,2.4.1,fail-baseline
react-native-create-thumbnail,2.2.0,fail-newdsl
react-native-default-preference,1.4.4,pass
react-native-drop-shadow,1.0.3,fail-newdsl
react-native-encrypted-storage,4.0.3,pass
react-native-exception-handler,2.10.10,fail-baseline
react-native-external-keyboard,1.1.0,pass
react-native-fast-rsa,2.6.3,fail-newdsl
react-native-is-keyboard-connected,1.1.0,pass
react-native-live-audio-stream,1.1.1,pass
react-native-nami-sdk,3.4.9,fail-baseline
react-native-nitro-fetch,1.6.3,fail-baseline
react-native-notify-kit,10.7.0,fail-newdsl
react-native-orientation-locker,1.7.0,pass
react-native-rate,1.2.12,pass
react-native-shared-group-preferences,1.1.24,fail-baseline
react-native-tiktok-business-sdk,,fail-newdsl
react-native-vision-camera-barcode-scanner,5.2.3,fail-baseline
react-native-vizbee-sender-sdk,1.1.53-20260812,fail-baseline
react-native-wallet-manager,2.1.0,fail-baseline
react-native-watch-connectivity,2.0.0,fail-baseline
react-native-wifi-reborn,4.13.6,fail-baseline
realm,,timeout
rn-pendo-sdk,3.14.1,fail-baseline
whisper.rn,,pass
@adobe/react-native-aepedgeconsent,7.0.1,fail-baseline
@amplitude/plugin-engagement-react-native,3.14.0,fail-newdsl
@amplitude/react-native,2.17.3,pass
@appmetrica/react-native-analytics,4.2.0,pass
@aptabase/react-native,0.6.0,pass
@bam.tech/react-native-app-security,1.0.0,fail-baseline
@bsky.app/expo-image-crop-tool,0.5.1,pass
@bugsnag/react-native,8.10.0,pass
@clerk/expo-google-signin,1.0.3,fail-newdsl
